F.ID,F.ID.W,Site,Transect,Habitat,Edgedist,Season,Date,GUD,Available,Forage,Tmax,Tmin,Tmed,Urine,Precip
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.17.2018,254,1200,YES,7.556,0.167,3.861,no.urine,0
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.17.2018,939,1200,YES,7.556,0.167,3.861,no.urine,0
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.17.2018,1197,1200,NO,7.556,0.167,3.861,no.urine,0
A1field20,A1field20winter1,A,1,field,20,winter1,12.17.2018,1195,1200,NO,7.556,0.167,3.861,no.urine,0
A1field60,A1field60winter1,A,1,field,60,winter1,12.17.2018,1199,1200,NO,7.556,0.167,3.861,no.urine,0
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.17.2018,1181,1200,NO,7.556,0.167,3.861,no.urine,0
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.17.2018,1149,1200,NO,7.556,0.167,3.861,no.urine,0
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.17.2018,1196,1200,NO,7.556,0.167,3.861,no.urine,0
A2field20,A2field20winter1,A,2,field,20,winter1,12.17.2018,1190,1200,NO,7.556,0.167,3.861,no.urine,0
A2field60,A2field60winter1,A,2,field,60,winter1,12.17.2018,1196,1200,NO,7.556,0.167,3.861,no.urine,0
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.17.2018,171,1200,YES,7.556,0.167,3.861,no.urine,0
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.17.2018,1186,1200,NO,7.556,0.167,3.861,no.urine,0
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.17.2018,1117,1200,YES,7.556,0.167,3.861,no.urine,0
A3field20,A3field20winter1,A,3,field,20,winter1,12.17.2018,604,1200,YES,7.556,0.167,3.861,no.urine,0
A3field60,A3field60winter1,A,3,field,60,winter1,12.17.2018,1200,1200,NO,7.556,0.167,3.861,no.urine,0
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.18.2018,56,1200,YES,2.889,-0.778,1.056,no.urine,0
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.18.2018,809,1200,YES,2.889,-0.778,1.056,no.urine,0
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.18.2018,1060,1200,YES,2.889,-0.778,1.056,no.urine,0
A1field20,A1field20winter1,A,1,field,20,winter1,12.18.2018,97,1200,YES,2.889,-0.778,1.056,no.urine,0
A1field60,A1field60winter1,A,1,field,60,winter1,12.18.2018,1187,1200,NO,2.889,-0.778,1.056,no.urine,0
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.18.2018,227,1200,YES,2.889,-0.778,1.056,no.urine,0
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.18.2018,1143,1200,NO,2.889,-0.778,1.056,no.urine,0
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.18.2018,25,1200,YES,2.889,-0.778,1.056,no.urine,0
A2field20,A2field20winter1,A,2,field,20,winter1,12.18.2018,830,1200,YES,2.889,-0.778,1.056,no.urine,0
A2field60,A2field60winter1,A,2,field,60,winter1,12.18.2018,1196,1200,NO,2.889,-0.778,1.056,no.urine,0
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.18.2018,1043,1200,YES,2.889,-0.778,1.056,no.urine,0
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.18.2018,1025,1200,YES,2.889,-0.778,1.056,no.urine,0
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.18.2018,105,1200,YES,2.889,-0.778,1.056,no.urine,0
A3field20,A3field20winter1,A,3,field,20,winter1,12.18.2018,28,1200,YES,2.889,-0.778,1.056,no.urine,0
A3field60,A3field60winter1,A,3,field,60,winter1,12.18.2018,789,1200,YES,2.889,-0.778,1.056,no.urine,0
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.19.2018,1317,1400,YES,4.278,-4.611,-0.167,no.urine,0
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.19.2018,1387,1400,NO,4.278,-4.611,-0.167,no.urine,0
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.19.2018,1301,1400,YES,4.278,-4.611,-0.167,no.urine,0
A1field20,A1field20winter1,A,1,field,20,winter1,12.19.2018,1394,1400,NO,4.278,-4.611,-0.167,no.urine,0
A1field60,A1field60winter1,A,1,field,60,winter1,12.19.2018,1394,1400,NO,4.278,-4.611,-0.167,no.urine,0
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.19.2018,1373,1400,NO,4.278,-4.611,-0.167,no.urine,0
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.19.2018,1340,1400,NO,4.278,-4.611,-0.167,no.urine,0
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.19.2018,346,1400,YES,4.278,-4.611,-0.167,no.urine,0
A2field20,A2field20winter1,A,2,field,20,winter1,12.19.2018,1384,1400,NO,4.278,-4.611,-0.167,no.urine,0
A2field60,A2field60winter1,A,2,field,60,winter1,12.19.2018,662,1400,YES,4.278,-4.611,-0.167,no.urine,0
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.19.2018,1228,1400,YES,4.278,-4.611,-0.167,no.urine,0
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.19.2018,1116,1400,YES,4.278,-4.611,-0.167,no.urine,0
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.19.2018,35,1400,YES,4.278,-4.611,-0.167,no.urine,0
A3field20,A3field20winter1,A,3,field,20,winter1,12.19.2018,852,1400,YES,4.278,-4.611,-0.167,no.urine,0
A3field60,A3field60winter1,A,3,field,60,winter1,12.19.2018,23,1400,YES,4.278,-4.611,-0.167,no.urine,0
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.21.2018,1349,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.21.2018,1389,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.21.2018,467,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A1field20,A1field20winter1,A,1,field,20,winter1,12.21.2018,139,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A1field60,A1field60winter1,A,1,field,60,winter1,12.21.2018,1384,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.21.2018,1369,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.21.2018,1184,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.21.2018,892,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A2field20,A2field20winter1,A,2,field,20,winter1,12.21.2018,545,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A2field60,A2field60winter1,A,2,field,60,winter1,12.21.2018,1265,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.21.2018,972,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.21.2018,1374,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.21.2018,1381,1400,NO,8.167,3.111,5.639,no.urine,1.4986
A3field20,A3field20winter1,A,3,field,20,winter1,12.21.2018,79,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A3field60,A3field60winter1,A,3,field,60,winter1,12.21.2018,177,1400,YES,8.167,3.111,5.639,no.urine,1.4986
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.22.2018,1220,1400,YES,3.333,-0.944,1.194,no.urine,0
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.22.2018,1399,1400,NO,3.333,-0.944,1.194,no.urine,0
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.22.2018,1239,1400,YES,3.333,-0.944,1.194,no.urine,0
A1field20,A1field20winter1,A,1,field,20,winter1,12.22.2018,1364,1400,NO,3.333,-0.944,1.194,no.urine,0
A1field60,A1field60winter1,A,1,field,60,winter1,12.22.2018,1340,1400,NO,3.333,-0.944,1.194,no.urine,0
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.22.2018,1329,1400,NO,3.333,-0.944,1.194,no.urine,0
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.22.2018,1321,1400,YES,3.333,-0.944,1.194,no.urine,0
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.22.2018,79,1400,YES,3.333,-0.944,1.194,no.urine,0
A2field20,A2field20winter1,A,2,field,20,winter1,12.22.2018,1198,1400,YES,3.333,-0.944,1.194,no.urine,0
A2field60,A2field60winter1,A,2,field,60,winter1,12.22.2018,934,1400,YES,3.333,-0.944,1.194,no.urine,0
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.22.2018,1200,1400,YES,3.333,-0.944,1.194,no.urine,0
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.22.2018,1378,1400,NO,3.333,-0.944,1.194,no.urine,0
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.22.2018,451,1400,YES,3.333,-0.944,1.194,no.urine,0
A3field20,A3field20winter1,A,3,field,20,winter1,12.22.2018,282,1400,YES,3.333,-0.944,1.194,no.urine,0
A3field60,A3field60winter1,A,3,field,60,winter1,12.22.2018,1399,1400,NO,3.333,-0.944,1.194,no.urine,0
A1woods60,A1woods60winter1,A,1,woods,60,winter1,12.23.2018,69,1400,YES,1.889,-2.444,-0.278,no.urine,0
A1woods20,A1woods20winter1,A,1,woods,20,winter1,12.23.2018,1299,1400,YES,1.889,-2.444,-0.278,no.urine,0
A1edge0,A1edge0winter1,A,1,edge,0,winter1,12.23.2018,60,1400,YES,1.889,-2.444,-0.278,no.urine,0
A1field20,A1field20winter1,A,1,field,20,winter1,12.23.2018,468,1400,YES,1.889,-2.444,-0.278,no.urine,0
A1field60,A1field60winter1,A,1,field,60,winter1,12.23.2018,1324,1400,YES,1.889,-2.444,-0.278,no.urine,0
A2woods60,A2woods60winter1,A,2,woods,60,winter1,12.23.2018,1204,1400,YES,1.889,-2.444,-0.278,no.urine,0
A2woods20,A2woods20winter1,A,2,woods,20,winter1,12.23.2018,1320,1400,YES,1.889,-2.444,-0.278,no.urine,0
A2edge0,A2edge0winter1,A,2,edge,0,winter1,12.23.2018,228,1400,YES,1.889,-2.444,-0.278,no.urine,0
A2field20,A2field20winter1,A,2,field,20,winter1,12.23.2018,24,1400,YES,1.889,-2.444,-0.278,no.urine,0
A2field60,A2field60winter1,A,2,field,60,winter1,12.23.2018,42,1400,YES,1.889,-2.444,-0.278,no.urine,0
A3woods60,A3woods60winter1,A,3,woods,60,winter1,12.23.2018,1352,1400,NO,1.889,-2.444,-0.278,no.urine,0
A3woods20,A3woods20winter1,A,3,woods,20,winter1,12.23.2018,1372,1400,NO,1.889,-2.444,-0.278,no.urine,0
A3edge0,A3edge0winter1,A,3,edge,0,winter1,12.23.2018,939,1400,YES,1.889,-2.444,-0.278,no.urine,0
A3field20,A3field20winter1,A,3,field,20,winter1,12.23.2018,143,1400,YES,1.889,-2.444,-0.278,no.urine,0
A3field60,A3field60winter1,A,3,field,60,winter1,12.23.2018,27,1400,YES,1.889,-2.444,-0.278,no.urine,0
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.17.2018,1120,1200,YES,7.556,0.167,3.861,no.urine,0
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.17.2018,396,1200,YES,7.556,0.167,3.861,no.urine,0
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.17.2018,54,1200,YES,7.556,0.167,3.861,no.urine,0
B1field20,B1field20winter1,B,1,field,20,winter1,12.17.2018,137,1200,YES,7.556,0.167,3.861,no.urine,0
B1field60,B1field60winter1,B,1,field,60,winter1,12.17.2018,143,1200,YES,7.556,0.167,3.861,no.urine,0
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.17.2018,349,1200,YES,7.556,0.167,3.861,no.urine,0
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.17.2018,496,1200,YES,7.556,0.167,3.861,no.urine,0
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.17.2018,15,1200,YES,7.556,0.167,3.861,no.urine,0
B2field20,B2field20winter1,B,2,field,20,winter1,12.17.2018,51,1200,YES,7.556,0.167,3.861,no.urine,0
B2field60,B2field60winter1,B,2,field,60,winter1,12.17.2018,171,1200,YES,7.556,0.167,3.861,no.urine,0
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.17.2018,325,1200,YES,7.556,0.167,3.861,no.urine,0
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.17.2018,24,1200,YES,7.556,0.167,3.861,no.urine,0
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.17.2018,8,1200,YES,7.556,0.167,3.861,no.urine,0
B3field20,B3field20winter1,B,3,field,20,winter1,12.17.2018,134,1200,YES,7.556,0.167,3.861,no.urine,0
B3field60,B3field60winter1,B,3,field,60,winter1,12.17.2018,363,1200,YES,7.556,0.167,3.861,no.urine,0
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.18.2018,1200,1200,NO,2.889,-0.778,1.056,no.urine,0
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.18.2018,528,1200,YES,2.889,-0.778,1.056,no.urine,0
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.18.2018,942,1200,YES,2.889,-0.778,1.056,no.urine,0
B1field20,B1field20winter1,B,1,field,20,winter1,12.18.2018,1200,1200,NO,2.889,-0.778,1.056,no.urine,0
B1field60,B1field60winter1,B,1,field,60,winter1,12.18.2018,653,1200,YES,2.889,-0.778,1.056,no.urine,0
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.18.2018,1046,1200,YES,2.889,-0.778,1.056,no.urine,0
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.18.2018,1096,1200,YES,2.889,-0.778,1.056,no.urine,0
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.18.2018,1192,1200,NO,2.889,-0.778,1.056,no.urine,0
B2field20,B2field20winter1,B,2,field,20,winter1,12.18.2018,1194,1200,NO,2.889,-0.778,1.056,no.urine,0
B2field60,B2field60winter1,B,2,field,60,winter1,12.18.2018,3,1200,YES,2.889,-0.778,1.056,no.urine,0
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.18.2018,1156,1200,NO,2.889,-0.778,1.056,no.urine,0
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.18.2018,345,1200,YES,2.889,-0.778,1.056,no.urine,0
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.18.2018,658,1200,YES,2.889,-0.778,1.056,no.urine,0
B3field20,B3field20winter1,B,3,field,20,winter1,12.18.2018,1182,1200,NO,2.889,-0.778,1.056,no.urine,0
B3field60,B3field60winter1,B,3,field,60,winter1,12.18.2018,1132,1200,NO,2.889,-0.778,1.056,no.urine,0
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.19.2018,1397,1400,NO,4.278,-4.611,-0.167,no.urine,0
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.19.2018,117,1400,YES,4.278,-4.611,-0.167,no.urine,0
